SeqName,CAS1_C0,CAS2_C0,CAS3_C0,CAS1_T0,CAS2_T0,CAS3_T0
TRINITY_DN10047_c0_g1,415.39,165.37,423.19,275.26,113.71,233.46
TRINITY_DN100482_c0_g1,0,0,0,0,0,0
TRINITY_DN100482_c0_g2,0,0,0,0,0,0
TRINITY_DN100496_c0_g1,0,0,0,0,0,0
TRINITY_DN10049_c0_g1,0,0,0,0,1.49,0
TRINITY_DN10049_c0_g2,6.66,0.7,0,0.71,4.2,0
TRINITY_DN100502_c0_g1,89.81,93.37,137.84,36.26,53.81,180.76
TRINITY_DN100506_c0_g1,0,0,0,0,0,0
TRINITY_DN100514_c0_g1,0,0,0,0,0,0
TRINITY_DN10051_c0_g1,11.32,27.26,9.6,3.44,8.52,9.93
TRINITY_DN10051_c0_g2,0.57,0,1.08,0,1.05,0
TRINITY_DN10051_c0_g3,22.26,31.46,8.34,3.92,8.3,7.34
TRINITY_DN100522_c0_g1,0,0,0,0,0,0
TRINITY_DN100526_c0_g1,0,0,0,0,0,0
TRINITY_DN100527_c0_g1,0,0,0,0,0,0
TRINITY_DN10052_c0_g1,92.57,112.74,130.16,68.49,51.21,92.62
TRINITY_DN10052_c0_g2,7.14,4.79,4.92,1.72,10.07,6.71
TRINITY_DN100535_c1_g1,0,0,0,0,0,0
TRINITY_DN10053_c0_g1,2.19,1.7,0,2.26,0.44,0.45
TRINITY_DN100546_c0_g1,3.33,0,0,0.77,1.99,1.25
TRINITY_DN100555_c0_g1,0,0,0,3.15,0,0
TRINITY_DN10055_c0_g1,0,0,0,2.97,0,0
TRINITY_DN100561_c0_g1,0,0,0,0,0,0
TRINITY_DN100562_c0_g1,0,0,0,0,0,0
TRINITY_DN100564_c0_g1,10.56,9.59,0,0,19.85,19.95
TRINITY_DN100566_c0_g1,0,0,0,0,0,0
TRINITY_DN100572_c3_g1,5.71,0,0,0,3.48,0
TRINITY_DN10057_c1_g1,0.48,1.7,0,0,0,0
TRINITY_DN100580_c0_g1,0,4.09,0,0,0,0
TRINITY_DN100588_c0_g1,0,0,0,0,0,0
TRINITY_DN10058_c0_g1,136.05,50.33,36.54,79.59,21.35,45.37
TRINITY_DN100590_c0_g1,0,0,0,0,0,0
TRINITY_DN100597_c0_g1,2.66,0,0,0,0,0
TRINITY_DN10059_c0_g1,176.96,97.66,46.14,77.45,61.55,53.42
TRINITY_DN1005_c1_g1,180.48,110.54,129.49,135.08,80.97,141.74
TRINITY_DN100605_c0_g1,0,0,0,0,4.09,0
TRINITY_DN100607_c0_g1,0,0,0,0,0,0
TRINITY_DN10061_c0_g1,0,0,0,0,0,0
TRINITY_DN100627_c0_g1,0,0,0,0,0,0
TRINITY_DN10062_c0_g1,238.14,137.9,101.87,112.41,128.86,146.48
TRINITY_DN10063_c0_g1,28.83,51.23,17.35,12.17,26.55,71.77
TRINITY_DN100649_c0_g1,0,0,0,0,0,0
TRINITY_DN10064_c0_g1,1.9,12.08,0,15.13,0.44,0.36
TRINITY_DN100655_c0_g1,0,0,0,0,0,0
TRINITY_DN10065_c0_g1,49.76,19.17,13.18,7.24,7.91,30.87
TRINITY_DN10067_c0_g1,17.98,1.7,0,0,0.88,7.16
TRINITY_DN100680_c0_g1,0,0,0,0,0,0
TRINITY_DN100690_c0_g1,0,0,0,0,0,0
TRINITY_DN1006_c0_g1,1838.05,1193.51,1705.68,1539.44,800.26,1461.09
TRINITY_DN100713_c0_g1,0,0,0,0,0,0
TRINITY_DN100713_c0_g2,0,0,0,0,0,0
TRINITY_DN100728_c0_g1,0,0,0,0,0,0
TRINITY_DN100733_c0_g1,0,0,0,0,0,0
TRINITY_DN10073_c0_g1,3.04,8.29,0,0,8.52,14.23
TRINITY_DN100745_c0_g1,0,0,0,0,0,0
TRINITY_DN100752_c0_g1,0,0,0,0,0,0
TRINITY_DN10075_c0_g1,538.6,461.65,284.27,217.63,264.36,351.4
TRINITY_DN100763_c0_g1,0,0,0,0,0,0
TRINITY_DN10076_c0_g1,0,0,0,0,0,0
TRINITY_DN10077_c0_g1,69.93,28.86,22.44,10.03,39.27,38.12
TRINITY_DN10077_c0_g2,13.13,24.96,10.35,161.49,34.29,40.63
TRINITY_DN10079_c0_g1,11.89,20.47,9.51,14.01,15.37,17.18
TRINITY_DN1007_c0_g1,170.11,81.88,44.64,113.77,56.36,87.96
TRINITY_DN1007_c2_g1,13.61,3.59,1.84,3.74,5.59,1.97
TRINITY_DN100812_c0_g1,2.28,0,0,0,0,0
TRINITY_DN100814_c0_g1,0,0,0,0,0,0
TRINITY_DN10081_c0_g1,0,0.8,0,0,0,0.54
TRINITY_DN100820_c0_g1,0,0,0,0,0,0
TRINITY_DN100822_c0_g1,0,0,0,0,0,0
TRINITY_DN100824_c0_g1,0,0,0,0,0,0
TRINITY_DN100828_c0_g1,8.66,237.36,7.68,285.11,298.59,57
TRINITY_DN100832_c0_g1,0,0,0,0,0,0
TRINITY_DN100832_c0_g2,31.59,22.17,8.01,13.35,11.5,9.66
TRINITY_DN100839_c0_g1,0,0,0,0,0,0
TRINITY_DN10083_c0_g1,0,1.3,0,0,0,0
TRINITY_DN100845_c0_g1,0,0,0,0,0,0
TRINITY_DN10084_c0_g1,93047.46,116399.06,140076.68,58377.82,59303.44,129641.53
TRINITY_DN100851_c0_g2,155.46,0.8,0,0.83,0.61,6.08
TRINITY_DN100851_c0_g3,0,0,0,0,0,0
TRINITY_DN100855_c0_g1,7.42,18.47,22.19,17.75,3.48,15.75
TRINITY_DN10085_c0_g1,0,0,0,0,0,0
TRINITY_DN10086_c0_g1,0.86,0,0,0,0,0
TRINITY_DN100880_c0_g1,0,0,0,0,0.55,1.07
TRINITY_DN100883_c0_g1,8.66,11.78,0,0,4.04,28.37
TRINITY_DN10089_c0_g1,0,0,0,0,0,0
TRINITY_DN100912_c0_g1,0,0,0,0,0,0
TRINITY_DN100919_c0_g1,0,0,0,0,0,0
TRINITY_DN10092_c0_g1,1.81,0,0.83,0,2.6,1.7
TRINITY_DN100931_c0_g1,0,0,0,0,0,0
TRINITY_DN100935_c0_g1,6.09,14.28,3.25,8.37,14.82,22.28
TRINITY_DN10093_c0_g1,2,1.8,0,0,0,0
TRINITY_DN100941_c0_g1,0,0,0,0,0,0
TRINITY_DN10094_c4_g1,3.14,5.19,1.42,1.96,1.49,2.42
TRINITY_DN100967_c1_g1,0,0,0,0,0,0
TRINITY_DN100971_c0_g1,0,0,0,0,0,0
TRINITY_DN100974_c0_g1,0,0,0,0,0,0
TRINITY_DN10098_c0_g1,858.28,1029.04,238.04,853.37,664.15,375.56
TRINITY_DN100999_c0_g1,4.09,4.59,22.03,6.47,4.53,13.6
TRINITY_DN1009_c0_g1,285.81,202.81,151.6,165.28,168.57,246.62
TRINITY_DN100_c0_g1,51.76,23.37,20.61,33.53,13.55,39.46
TRINITY_DN100_c0_g2,78.21,112.44,96.7,66.41,63.6,106.31
TRINITY_DN101007_c0_g1,0,0,0,0,0,6.98
TRINITY_DN101009_c0_g1,0,0,0,0,0,0
TRINITY_DN101019_c0_g1,0,0,0,0,0,0
TRINITY_DN10101_c0_g1,28.64,23.27,19.94,21.6,4.76,21.48
TRINITY_DN101021_c0_g1,0,0,0,0,0,0
TRINITY_DN101035_c0_g1,0.57,0,0,0,0,0
TRINITY_DN10104_c0_g1,157.56,72.7,43.47,85.34,140.36,46.62
TRINITY_DN10105_c0_g1,2.85,1.3,0,0,2.43,1.34
TRINITY_DN101074_c0_g1,0,0,0,0,0,0
TRINITY_DN101092_c0_g1,0,2.1,6.26,0,8.63,10.74
TRINITY_DN1010_c0_g1,2.47,9.89,0,0,8.13,2.33
TRINITY_DN101100_c0_g1,2.95,5.39,0,0,0,0
TRINITY_DN101101_c1_g1,0,13.18,0,3.44,3.43,0
TRINITY_DN10111_c0_g1,0,0,0,1.13,2.27,0.54
TRINITY_DN101128_c0_g1,1.71,9.39,0,0,3.26,1.61
TRINITY_DN10112_c0_g1,88.01,85.78,100.21,39.29,59.07,99.77
TRINITY_DN10112_c6_g1,98.85,24.27,19.11,36.74,26.88,35.35
TRINITY_DN101133_c0_g1,13.13,3,6.01,3.15,0,0
TRINITY_DN101133_c0_g3,0,0,0,0,0,0
TRINITY_DN101137_c0_g1,0,0,0,57.51,0,0
TRINITY_DN10113_c0_g1,4.57,7.59,61.83,101.37,8.85,0
TRINITY_DN101145_c1_g1,0,26.76,2.67,2.79,11.06,30.51
TRINITY_DN101146_c0_g1,0,0,4.17,0,0,0
TRINITY_DN10114_c0_g1,28.26,11.18,15.6,12.7,16.37,24.52
TRINITY_DN10114_c1_g1,29.3,42.74,21.36,11.16,44.19,69.17
TRINITY_DN101150_c0_g1,0,0,0,0,4.09,0
TRINITY_DN101153_c0_g1,37.11,33.75,40.97,25.99,0,34.72
TRINITY_DN10115_c0_g1,857.23,509.58,574.62,613.07,332.82,496.45
TRINITY_DN10116_c0_g1,121.02,250.15,202.75,140.3,87.33,124.11
TRINITY_DN101174_c0_g1,0,0,0,0,3.54,0
TRINITY_DN10117_c0_g2,8.37,21.07,10.26,0,7.91,6.98
TRINITY_DN101185_c0_g1,0,0,0,0,0,6
TRINITY_DN10118_c0_g1,4182.15,2987.27,2429.48,1949.59,1940.2,2521.47
TRINITY_DN101194_c1_g1,102.09,36.25,51.73,68.96,59.45,49.57
TRINITY_DN101198_c0_g1,0,0,3.09,0,0,0
TRINITY_DN101199_c0_g1,0,0,0,0,0,0
TRINITY_DN101199_c0_g2,0,0,0,0,0,0
TRINITY_DN10119_c0_g1,57.85,53.82,29.7,38.7,35.56,44.47
TRINITY_DN10120_c0_g1,85.82,39.44,37.21,51.57,21.62,47.69
TRINITY_DN10120_c0_g2,27.88,0,0,0,1.38,0
TRINITY_DN101211_c0_g1,0,4.19,0,0,0,0
TRINITY_DN101220_c0_g1,0,0,0,0,0,0
TRINITY_DN101221_c0_g1,0,0,0,0,0,0
