SeqName,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
TRINITY_DN10046_c0_g1,3.14,1.8,0,1.19,0.53,0.74
TRINITY_DN10047_c0_g1,415.39,165.37,423.19,192.08,106.96,172.21
TRINITY_DN100482_c0_g1,0,0,0,0,0,0
TRINITY_DN100482_c0_g2,0,0,0,0,0,0
TRINITY_DN100496_c0_g1,0,0,0,0,0,0
TRINITY_DN10049_c0_g1,0,0,0,0,0,0
TRINITY_DN10049_c0_g2,6.66,0.7,0,0.77,1.46,5.76
TRINITY_DN100502_c0_g1,89.81,93.37,137.84,90.9,62.53,18.26
TRINITY_DN100506_c0_g1,0,0,0,0,0,0
TRINITY_DN100514_c0_g1,0,0,0,0,0,0
TRINITY_DN10051_c0_g1,11.32,27.26,9.6,6.02,7.41,5.27
TRINITY_DN10051_c0_g2,0.57,0,1.08,0,0,0
TRINITY_DN10051_c0_g3,22.26,31.46,8.34,3.85,10.1,1.78
TRINITY_DN100522_c0_g1,0,0,0,0,0,0
TRINITY_DN100526_c0_g1,0,0,0,0,0,0
TRINITY_DN100527_c0_g1,0,0,0,30.04,0,0
TRINITY_DN10052_c0_g1,92.57,112.74,130.16,32.7,86.99,166.94
TRINITY_DN10052_c0_g2,7.14,4.79,4.92,3.64,3.5,1.72
TRINITY_DN100535_c1_g1,0,0,0,0,0,0
TRINITY_DN10053_c0_g1,2.19,1.7,0,0.49,2.28,0
TRINITY_DN100546_c0_g1,3.33,0,0,1.75,0.41,3.37
TRINITY_DN100555_c0_g1,0,0,0,0,0,0
TRINITY_DN10055_c0_g1,0,0,0,3.15,0,0
TRINITY_DN100561_c0_g1,0,0,0,0,0,0
TRINITY_DN100562_c0_g1,0,0,0,0,0,0
TRINITY_DN100564_c0_g1,10.56,9.59,0,0,6.89,26.96
TRINITY_DN100566_c0_g1,0,0,0,0,0,0
TRINITY_DN100572_c3_g1,5.71,0,0,0,0,0
TRINITY_DN10057_c1_g1,0.48,1.7,0,1.4,0.47,0.43
TRINITY_DN100580_c0_g1,0,4.09,0,0,0,0
TRINITY_DN100588_c0_g1,0,0,0,0,0,0
TRINITY_DN10058_c0_g1,136.05,50.33,36.54,23.67,33.34,33.58
TRINITY_DN100590_c0_g1,0,0,0,16.18,0,0
TRINITY_DN100597_c0_g1,2.66,0,0,0,0,0
TRINITY_DN10059_c0_g1,176.96,97.66,46.14,46.64,51.44,58.1
TRINITY_DN1005_c1_g1,180.48,110.54,129.49,138.3,166.62,205.97
TRINITY_DN100605_c0_g1,0,0,0,0,0,0
TRINITY_DN100607_c0_g1,0,0,0,171.15,0,0
TRINITY_DN10061_c0_g1,0,0,0,0,0,0
TRINITY_DN100627_c0_g1,0,0,0,0,0,0
TRINITY_DN10062_c0_g1,238.14,137.9,101.87,182.07,177.43,160.2
TRINITY_DN10063_c0_g1,28.83,51.23,17.35,48.53,93.53,34.81
TRINITY_DN100649_c0_g1,0,0,0,0,0,0
TRINITY_DN10064_c0_g1,1.9,12.08,0,0,2.57,8.27
TRINITY_DN100655_c0_g1,0,0,0,0,0,0
TRINITY_DN10065_c0_g1,49.76,19.17,13.18,25.35,31.53,18.94
TRINITY_DN10067_c0_g1,17.98,1.7,0,6.72,0,13.67
TRINITY_DN100680_c0_g1,0,0,0,0,0,0
TRINITY_DN100690_c0_g1,0,0,0,36.83,0,0
TRINITY_DN1006_c0_g1,1838.05,1193.51,1705.68,706.01,1009.5,1017.31
TRINITY_DN100713_c0_g1,0,0,0,0,0,0
TRINITY_DN100713_c0_g2,0,0,0,0,0,0
TRINITY_DN100728_c0_g1,0,0,0,9.94,0,0
TRINITY_DN100733_c0_g1,0,0,0,0,0,0
TRINITY_DN10073_c0_g1,3.04,8.29,0,524.85,5.9,17.34
TRINITY_DN100745_c0_g1,0,0,0,0,0,0
TRINITY_DN100752_c0_g1,0,0,0,20.45,0,0
TRINITY_DN10075_c0_g1,538.6,461.65,284.27,329.34,261.03,297.66
TRINITY_DN100763_c0_g1,0,0,0,0,0,0
TRINITY_DN10076_c0_g1,0,0,0,0,0,0
TRINITY_DN10077_c0_g1,69.93,28.86,22.44,19.75,40.75,48.9
TRINITY_DN10077_c0_g2,13.13,24.96,10.35,21.64,54.65,33.46
TRINITY_DN10079_c0_g1,11.89,20.47,9.51,7.77,22.77,27.46
TRINITY_DN1007_c0_g1,170.11,81.88,44.64,50.35,41.51,64.9
TRINITY_DN1007_c2_g1,13.61,3.59,1.84,4.06,10.22,5.94
TRINITY_DN100812_c0_g1,2.28,0,0,0,2.22,10.91
TRINITY_DN100814_c0_g1,0,0,0,0,0,0
TRINITY_DN10081_c0_g1,0,0.8,0,1219.52,0.35,0.61
TRINITY_DN100820_c0_g1,0,0,0,0,0,0
TRINITY_DN100822_c0_g1,0,0,0,0,0,0
TRINITY_DN100824_c0_g1,0,0,0,0,0,0
TRINITY_DN100828_c0_g1,8.66,237.36,7.68,8.75,160.49,49.33
TRINITY_DN100832_c0_g1,0,0,0,0,0,0
TRINITY_DN100832_c0_g2,31.59,22.17,8.01,4.06,0.29,16.36
TRINITY_DN100839_c0_g1,0,0,0,0,0,0
TRINITY_DN10083_c0_g1,0,1.3,0,8.96,0,5.58
TRINITY_DN100845_c0_g1,0,0,0,0,0,0
TRINITY_DN10084_c0_g1,93047.46,116399.06,140076.68,70999.2,75288.73,55651.51
TRINITY_DN100851_c0_g2,155.46,0.8,0,0,8.7,0
TRINITY_DN100851_c0_g3,0,0,0,0,48.17,0
TRINITY_DN100855_c0_g1,7.42,18.47,22.19,25.49,22.71,19.61
TRINITY_DN10085_c0_g1,0,0,0,0,0,0
TRINITY_DN10086_c0_g1,0.86,0,0,0,0,0
TRINITY_DN100880_c0_g1,0,0,0,590.05,0,0
TRINITY_DN100883_c0_g1,8.66,11.78,0,4.34,0,4.11
TRINITY_DN10089_c0_g1,0,0,0,9.87,0,0
TRINITY_DN100912_c0_g1,0,0,0,0,0,0
TRINITY_DN100919_c0_g1,0,0,0,0,0,0
TRINITY_DN10092_c0_g1,1.81,0,0.83,0.91,0.88,2.64
TRINITY_DN100931_c0_g1,0,0,0,0,0,0
TRINITY_DN100935_c0_g1,6.09,14.28,3.25,0,0,10.91
TRINITY_DN10093_c0_g1,2,1.8,0,175.63,1.99,0
TRINITY_DN100941_c0_g1,0,0,0,10.15,0,0
TRINITY_DN10094_c4_g1,3.14,5.19,1.42,8.96,2.51,4.96
TRINITY_DN100967_c1_g1,0,0,0,0,0,0
TRINITY_DN100971_c0_g1,0,0,0,0,0,0
