,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
CORRUBR2A004635,915,292,334,212,258,266
CORRUBR2A004636,703,538,373,315,415,395
CORRUBR2A004638,534,417,638,236,163,291
CORRUBR2A004639,26,25,17,4,0,0
CORRUBR2A004641,190,173,137,164,169,248
CORRUBR2A004643,534,374,319,586,272,978
CORRUBR2A004647,509,209,102,225,164,156
CORRUBR2A004648,286,78,50,122,129,94
CORRUBR2A004651,615,485,436,383,396,231
CORRUBR2A004653,1,10,1,6,5,11
CORRUBR2A004654,578,1,475,199,90,4
CORRUBR2A004658,6,2,0,8,5,18
CORRUBR2A004660,123,97,91,74,90,32
CORRUBR2A004664,57,36,24,30,75,75
CORRUBR2A004666,2897,2631,1725,2950,2584,2537
CORRUBR2A004667,10,29,9,18,11,51
CORRUBR2A004671,88,108,60,175,121,137
CORRUBR2A004673,53,59,24,47,43,59
CORRUBR2A004674,230,179,78,102,174,98
CORRUBR2A004682,62,49,90,28,55,49
CORRUBR2A004683,0,8,0,8,5,0
CORRUBR2A004684,5,7,8,4,7,6
CORRUBR2A004686,913,908,809,709,642,610
CORRUBR2A004688,591,322,268,389,375,379
CORRUBR2A004690,5,1,6,2,4,3
CORRUBR2A004691,682,206,188,174,196,163
CORRUBR2A004692,422,430,371,235,194,182
CORRUBR2A004696,69,65,60,65,20,79
CORRUBR2A004697,1279,640,372,345,576,649
CORRUBR2A004698,985,703,297,419,577,171
CORRUBR2A004701,483,287,143,239,333,349
CORRUBR2A004703,321,176,190,70,88,97
CORRUBR2A004705,2,2,0,0,15,0
CORRUBR2A004706,254,305,177,113,95,94
CORRUBR2A004709,150,95,89,29,68,85
CORRUBR2A004711,1460,1119,1260,1099,1022,895
CORRUBR2A004718,1024,534,332,323,396,408
CORRUBR2A004721,171,75,88,140,155,147
CORRUBR2A004722,170,125,130,98,107,102
CORRUBR2A004725,71,113,53,103,118,133
CORRUBR2A004728,190,54,43,35,31,25
CORRUBR2A004730,133,212,199,117,109,124
CORRUBR2A004732,22,34,39,39,55,62
CORRUBR2A004735,7925,9096,8185,4712,5225,4319
CORRUBR2A004739,593,393,261,258,234,226
CORRUBR2A004740,9,3,7,9,11,12
CORRUBR2A004744,0,9,2,2,9,9
CORRUBR2A004745,13,1,6,1,5,0
CORRUBR2A004746,137,28,18,39,44,30
CORRUBR2A004748,973,640,1158,530,510,404
CORRUBR2A004751,746,479,402,433,492,366
CORRUBR2A004752,407,181,121,86,129,185
CORRUBR2A004753,5,3,3,5,3,10
CORRUBR2A004754,194,157,124,175,48,201
CORRUBR2A004755,9,6,3,1,1,3
CORRUBR2A004759,563,574,510,465,373,378
CORRUBR2A004761,250,215,583,472,594,483
CORRUBR2A004767,311,230,143,228,305,211
CORRUBR2A004769,32,22,76,6,5,6
CORRUBR2A004771,47,18,41,6,22,108
CORRUBR2A004772,516,195,88,92,147,72
CORRUBR2A004773,76,25,48,62,39,40
CORRUBR2A004774,672,395,296,218,250,163
CORRUBR2A004778,0,16,0,60,17,0
CORRUBR2A004781,20,3,11,1,3,9
CORRUBR2A004782,97,111,103,36,64,37
CORRUBR2A004784,451,330,279,227,240,285
CORRUBR2A004787,18,87,19,16,4,47
CORRUBR2A004789,133,107,68,142,111,178
CORRUBR2A004790,104,65,43,75,61,36
CORRUBR2A004792,71,158,296,48,67,99
CORRUBR2A004794,130,676,363,324,197,130
CORRUBR2A004796,255,81,121,75,82,127
CORRUBR2A004798,238,136,113,132,135,102
CORRUBR2A004800,267,275,253,289,230,347
CORRUBR2A004802,236,233,105,200,199,198
CORRUBR2A004803,214,197,44,87,77,102
CORRUBR2A004805,14,3,3,9,2,0
CORRUBR2A004806,10,4,5,12,5,8
CORRUBR2A004808,7,11,13,10,7,13
CORRUBR2A004811,2249,986,746,837,895,833
CORRUBR2A004812,48,0,24,18,8,4
CORRUBR2A004815,450,235,190,344,223,172
CORRUBR2A004818,1174,396,635,541,65,617
CORRUBR2A004819,206,129,143,116,99,109
CORRUBR2A004824,3,36,97,40,63,75
CORRUBR2A004826,520,671,514,702,545,608
CORRUBR2A004827,27,6,5,1,0,2
CORRUBR2A004828,454,190,129,145,187,164
CORRUBR2A004832,719,330,298,262,312,287
CORRUBR2A004834,322,345,711,247,346,131
CORRUBR2A004838,216,149,19,140,118,40
CORRUBR2A004839,22,42,109,12,29,6
CORRUBR2A004841,106,50,60,77,68,175
CORRUBR2A004843,2583,1486,1179,1263,1483,1972
CORRUBR2A004845,674,579,397,268,267,296
CORRUBR2A004846,287,239,206,301,299,297
CORRUBR2A004848,9,4,5,1,2,2
CORRUBR2A004850,2609,2088,2173,1879,1666,1480
CORRUBR2A004851,424,136,86,122,144,118
CORRUBR2A004857,48,28,16,21,42,27
CORRUBR2A004862,1,13,2,0,8,2
CORRUBR2A004865,958,470,280,291,369,494
CORRUBR2A004867,211,95,92,147,178,159
CORRUBR2A004872,224,130,55,86,54,97
CORRUBR2A004873,857,1393,860,703,697,312
CORRUBR2A004875,591,299,317,178,276,364
CORRUBR2A004878,27,133,68,22,23,13
CORRUBR2A004884,1849,1646,1720,244,2158,1403
CORRUBR2A004888,84,7,57,12,0,5
CORRUBR2A004893,73,43,17,77,96,45
CORRUBR2A004895,3,4,1,3,5,8
CORRUBR2A004896,26,56,13,60,101,76
CORRUBR2A004897,67,111,89,35,81,29
CORRUBR2A004899,72,59,22,57,68,44
CORRUBR2A004901,144,187,124,103,94,78
CORRUBR2A004903,269,445,161,132,172,165
CORRUBR2A004907,134,101,99,153,171,119
CORRUBR2A004909,166,75,32,69,38,22
CORRUBR2A004911,785,240,126,263,244,347
CORRUBR2A004912,1221,750,1369,494,1055,480
CORRUBR2A004914,41,37,26,76,39,33
CORRUBR2A004918,515,168,165,198,138,170
CORRUBR2A004919,653,194,115,163,140,118
CORRUBR2A004921,172,59,62,61,69,70
CORRUBR2A004923,11,12,66,39,12,26
CORRUBR2A004926,99,48,19,57,96,66
CORRUBR2A004927,625,874,833,711,454,326
CORRUBR2A004928,195,67,100,110,98,168
CORRUBR2A004930,0,14,0,0,0,8
CORRUBR2A004931,3008,1916,1811,891,1282,1656
CORRUBR2A004937,493,417,423,216,288,381
CORRUBR2A004939,137,58,52,54,53,57
CORRUBR2A004940,28,0,0,4,2,0
CORRUBR2A004944,74,102,57,428,60,30
CORRUBR2A004945,86,97,43,57,127,73
CORRUBR2A004946,1081,1981,759,721,866,592
CORRUBR2A004947,5863,4875,5035,3977,2767,3969
CORRUBR2A004949,1935,79,207,451,89,161
CORRUBR2A004951,760,118,40,130,135,138
CORRUBR2A004952,23,5,3,16,4,2
CORRUBR2A004953,6,7,4,3,3,2
CORRUBR2A004954,1172,682,493,940,730,637
CORRUBR2A004959,44,39,5,4,39,3
CORRUBR2A004960,282,208,182,143,134,91
CORRUBR2A004962,165,174,102,131,166,154
CORRUBR2A004964,8,2,1,0,3,6
CORRUBR2A004965,123,63,29,86,65,80
CORRUBR2A004967,2442,1800,871,1251,1485,1324
CORRUBR2A004969,546,377,397,353,310,232
CORRUBR2A004971,13,19,16,12,5,15
CORRUBR2A004972,630,1314,943,711,737,341
CORRUBR2A004975,383,297,329,132,224,238
CORRUBR2A004977,538,411,348,319,299,327
CORRUBR2A004979,4,1,0,2,1,0
CORRUBR2A004981,147,152,62,66,88,46
CORRUBR2A004990,15,12,3,12,7,20
CORRUBR2A004992,34,83,1,83,68,72
CORRUBR2A004996,27,12,38,16,12,16
CORRUBR2A004997,145,117,132,94,112,108
CORRUBR2A004999,53,24,13,25,27,43
CORRUBR2A005003,845,755,542,736,681,869
CORRUBR2A005007,3002,3122,3257,1425,2050,2211
CORRUBR2A005009,152,425,206,121,35,250
CORRUBR2A005014,4,11,2,24,27,11
CORRUBR2A005020,33,31,19,14,40,66
CORRUBR2A005023,0,0,2,0,1,0
CORRUBR2A005029,143,144,2,105,108,82
CORRUBR2A005032,3,7,0,5,18,14
CORRUBR2A005034,153,44,29,55,39,59
CORRUBR2A005040,642,480,149,207,325,288
CORRUBR2A005041,570,179,75,103,135,64
CORRUBR2A005042,305,260,788,177,155,169
CORRUBR2A005044,429,500,418,296,237,240
CORRUBR2A005048,491,396,552,297,235,377
CORRUBR2A005049,750,175,378,227,172,192
CORRUBR2A005054,648,425,221,254,351,240
CORRUBR2A005057,4691,6020,5571,3335,4013,3921
CORRUBR2A005059,488,166,157,178,185,145
CORRUBR2A005061,8,5,1,2,6,11
CORRUBR2A005062,746,625,553,529,707,812
CORRUBR2A005063,35,63,21,21,32,38
CORRUBR2A005064,23,9,5,4,5,19
CORRUBR2A005065,17,0,20,12,23,30
CORRUBR2A005067,23,0,17,18,10,0
CORRUBR2A005071,60,44,13,48,47,52
CORRUBR2A005073,108,40,31,62,63,62
CORRUBR2A005080,43,108,77,16,20,101
CORRUBR2A005088,1377,1084,1470,632,1092,894
CORRUBR2A005090,34,51,53,73,49,118
CORRUBR2A005093,72,26,53,40,39,43
CORRUBR2A005094,357,204,325,98,72,45
CORRUBR2A005096,408,293,431,548,563,538
CORRUBR2A005099,1182,775,640,790,1048,1232
CORRUBR2A005100,13,34,16,22,80,40
CORRUBR2A005103,59,6,18,22,9,49
CORRUBR2A005104,268,357,328,97,369,153
CORRUBR2A005105,2,18,0,0,3,2
CORRUBR2A005109,3700,3050,8122,1566,1820,2093
CORRUBR2A005110,144,48,73,38,60,57
CORRUBR2A005112,682,338,464,423,244,263
CORRUBR2A005113,188,97,87,94,134,122
CORRUBR2A005114,145,88,71,91,98,79
CORRUBR2A005116,84,17,60,18,80,0
CORRUBR2A005117,2006,1979,2046,1601,1861,1811
CORRUBR2A005120,749,426,191,181,307,349
CORRUBR2A005121,18,6,29,10,20,3
CORRUBR2A005122,183,227,157,138,227,162
CORRUBR2A005126,4,4,2,5,2,6
CORRUBR2A005128,4227,7539,3761,1412,861,679
CORRUBR2A005131,195,143,167,63,76,78
CORRUBR2A005134,37,18,5,10,49,20
CORRUBR2A005135,153,97,40,67,56,95
CORRUBR2A005136,131,151,143,74,63,91
CORRUBR2A005142,573,780,727,925,517,821
CORRUBR2A005143,864,487,219,525,409,407
CORRUBR2A005145,36,3,0,2,8,0
CORRUBR2A005147,97,45,34,98,81,77
CORRUBR2A005149,437,341,444,297,319,387
CORRUBR2A005150,1,20,1,0,10,2
CORRUBR2A005155,22,25,22,11,16,33
CORRUBR2A005156,99,84,109,93,68,19
CORRUBR2A005157,17,23,31,17,25,22
CORRUBR2A005160,218,334,142,2045,405,486
CORRUBR2A005161,391,328,265,223,201,266
CORRUBR2A005163,12,26,30,17,14,14
CORRUBR2A005164,257,146,201,155,137,88
CORRUBR2A005165,14,1,6,6,8,20
CORRUBR2A005166,600,1435,665,1906,2056,1561
CORRUBR2A005168,91,52,71,43,19,46
CORRUBR2A005170,446,87,39,116,124,54
CORRUBR2A005172,4056,2607,2687,1685,716,775
CORRUBR2A005175,27,9,0,1,0,42
CORRUBR2A005177,14,7,11,4,4,4
CORRUBR2A005179,11,83,0,41,46,15
CORRUBR2A005182,58,64,49,37,136,19
CORRUBR2A005183,135,57,158,108,211,215
CORRUBR2A005184,16,16,10,5,12,1
CORRUBR2A005185,227,98,70,74,54,54
CORRUBR2A005186,199,168,59,128,84,119
CORRUBR2A005191,35,31,33,6,16,7
CORRUBR2A005194,293,430,381,257,264,209
CORRUBR2A005195,0,2,2,1,1,14
CORRUBR2A005196,2307,1281,1003,1119,1252,905
CORRUBR2A005197,100,113,60,57,476,183
CORRUBR2A005198,597,806,594,242,294,397
CORRUBR2A005200,764,1041,468,1044,948,906
CORRUBR2A005202,14971,13329,17774,8807,7928,6889
CORRUBR2A005203,426,392,272,395,251,331
CORRUBR2A005209,30,0,0,17,7,4
CORRUBR2A005210,35,37,18,33,30,21
CORRUBR2A005212,22,47,25,24,67,37
CORRUBR2A005215,631,1053,904,579,609,664
CORRUBR2A005217,268,571,472,401,555,179
CORRUBR2A005218,712,516,394,455,601,602
CORRUBR2A005219,55,59,46,20,35,28
CORRUBR2A005220,3,18,2,12,3,6
CORRUBR2A005222,210,268,229,87,155,166
CORRUBR2A005224,1195,977,879,661,887,1049
CORRUBR2A005225,33,85,23,29,25,41
CORRUBR2A005229,237,480,332,133,283,238
CORRUBR2A005232,432,103,122,77,170,265
CORRUBR2A005233,626,387,229,383,375,409
CORRUBR2A005236,712,701,689,723,429,657
CORRUBR2A005237,26,50,26,11,30,72
CORRUBR2A005238,2915,2916,2814,2676,2271,2560
CORRUBR2A005240,29,6,2,2,7,0
CORRUBR2A005241,186,136,83,134,175,188
CORRUBR2A005242,104,178,74,80,119,160
CORRUBR2A005244,52,42,25,25,33,52
CORRUBR2A005245,433,315,247,350,434,374
CORRUBR2A005246,5,12,4,12,53,0
CORRUBR2A005247,6,24,2,7,8,22
CORRUBR2A005253,113,143,71,115,134,156
CORRUBR2A005256,352,215,226,136,153,117
CORRUBR2A005257,588,737,554,286,260,563
CORRUBR2A005258,393,57,26,61,75,51
CORRUBR2A005261,305,162,90,95,64,105
CORRUBR2A005264,398,366,226,310,179,176
CORRUBR2A005267,345,247,132,133,65,264
CORRUBR2A005268,64,34,65,136,106,102
CORRUBR2A005270,1805,1443,1613,773,633,646
CORRUBR2A005275,246,123,55,78,106,69
CORRUBR2A005276,4,10,4,16,2,8
CORRUBR2A005278,307,512,268,343,386,547
CORRUBR2A005283,179,144,117,17,39,1
CORRUBR2A005287,1284,831,690,787,629,397
CORRUBR2A005289,7200,6931,3813,3544,4076,4910
CORRUBR2A005292,5301,4219,2922,2507,2927,3453
CORRUBR2A005297,353,183,139,115,137,115
CORRUBR2A005303,4,6,1,5,14,18
CORRUBR2A005304,3111,2166,1578,1562,2137,2355
CORRUBR2A005309,626,357,249,160,245,206
CORRUBR2A005311,43,33,13,18,23,18
CORRUBR2A005314,444,292,217,280,312,354
CORRUBR2A005315,11,6,11,4,0,13
CORRUBR2A005316,217,134,117,120,120,115
CORRUBR2A005317,119,143,134,146,248,275
CORRUBR2A005320,79,42,16,14,19,18
CORRUBR2A005322,1575,641,652,559,652,951
CORRUBR2A005325,849,481,228,409,390,676
CORRUBR2A005327,5,17,20,4,16,15
CORRUBR2A005329,64,33,9,19,17,7
CORRUBR2A005330,158,92,136,169,135,115
CORRUBR2A005334,180,48,26,62,51,65
CORRUBR2A005336,100,110,102,79,90,55
CORRUBR2A005338,484,248,131,195,253,205
CORRUBR2A005339,1390,817,434,419,584,463
CORRUBR2A005341,35,32,18,39,65,56
CORRUBR2A005342,2372,5944,2472,1689,2668,2185
CORRUBR2A005343,133,69,38,74,66,78
CORRUBR2A005345,2524,1913,7109,3049,1740,4785
CORRUBR2A005348,861,416,273,238,302,304
CORRUBR2A005349,149504,179025,134057,92317,87472,98848
CORRUBR2A005350,187,122,61,68,68,73
CORRUBR2A005355,320,223,150,160,206,329
CORRUBR2A005356,415,221,214,217,332,226
CORRUBR2A005359,331,120,67,119,125,87
CORRUBR2A005361,343,201,77,159,184,129
CORRUBR2A005365,151,83,94,168,95,90
CORRUBR2A005367,42,19,32,24,35,32
CORRUBR2A005369,978,764,558,582,789,920
CORRUBR2A005374,122,129,133,92,102,133
CORRUBR2A005375,575,405,290,201,240,230
CORRUBR2A005376,457,243,183,193,235,191
CORRUBR2A005377,685,446,1148,273,226,250
CORRUBR2A005378,15,6,5,6,6,8
CORRUBR2A005381,135,75,96,40,69,46
CORRUBR2A005383,73,81,46,85,45,44
CORRUBR2A005386,70,42,36,33,57,35
CORRUBR2A005387,38,21,10,5,14,23
CORRUBR2A005388,1,6,0,0,1,1
CORRUBR2A005392,754,546,713,352,398,363
CORRUBR2A005394,8,11,1,9,8,29
CORRUBR2A005397,250,310,302,217,280,205
CORRUBR2A005398,74,32,61,26,49,84
CORRUBR2A005399,5509,3452,1503,2116,2726,3148
CORRUBR2A005400,303,94,14,48,75,76
CORRUBR2A005403,191,208,34,11,94,256
CORRUBR2A005405,0,0,2,2,17,0
CORRUBR2A005408,15,29,7,1,35,18
CORRUBR2A005411,473,787,505,396,467,455
CORRUBR2A005413,2615,2730,2043,1821,2073,2367
CORRUBR2A005415,198,309,385,134,157,127
CORRUBR2A005418,1977,1077,1131,541,827,1335
CORRUBR2A005423,4424,4258,4047,1969,2787,5084
CORRUBR2A005424,365,148,134,139,119,205
CORRUBR2A005426,144,87,31,84,86,111
CORRUBR2A005428,177,116,47,59,186,68
CORRUBR2A005431,407,793,720,826,513,339
CORRUBR2A005433,40,4,5,0,0,0
CORRUBR2A005437,2,6,1,1,2,4
CORRUBR2A005438,304,81,107,93,92,30
CORRUBR2A005446,562,475,738,291,557,758
CORRUBR2A005448,3,3,3,6,8,13
CORRUBR2A005450,128,226,142,226,136,236
CORRUBR2A005454,8360,7574,6892,2901,4280,5990
CORRUBR2A005455,435,166,87,134,184,170
CORRUBR2A005458,2122,1537,1837,1459,1071,868
CORRUBR2A005461,4,14,8,6,15,12
CORRUBR2A005463,313,260,227,165,143,140
CORRUBR2A005464,947,833,498,507,340,497
CORRUBR2A005466,57,63,30,12,51,118
CORRUBR2A005468,289,97,38,53,67,69
CORRUBR2A005469,1457,928,1214,858,954,868
CORRUBR2A005470,4,4,2,2,5,3
CORRUBR2A005474,650,457,433,494,260,373
CORRUBR2A005475,436,197,314,161,127,191
CORRUBR2A005476,166,251,123,75,105,109
CORRUBR2A005477,1509,752,291,1028,3179,1655
CORRUBR2A005480,652,577,595,362,387,286
CORRUBR2A005482,52,93,93,55,58,51
CORRUBR2A005484,121,240,201,93,121,147
CORRUBR2A005487,103,50,36,35,26,32
CORRUBR2A005489,439,203,74,126,123,146
CORRUBR2A005490,549,0,22,64,262,60
CORRUBR2A005492,387,318,178,331,312,205
CORRUBR2A005496,1366,993,1908,108,721,313
CORRUBR2A005498,93,57,26,87,76,78
CORRUBR2A005499,17,5,3,0,8,4
CORRUBR2A005502,318,205,290,263,227,257
CORRUBR2A005504,0,25,0,4,7,0
CORRUBR2A005506,711,558,638,402,447,419
CORRUBR2A005509,6,12,4,1,3,11
CORRUBR2A005511,147,75,87,93,159,93
CORRUBR2A005513,956,874,576,229,417,485
CORRUBR2A005516,21,16,69,16,5,15
CORRUBR2A005519,86,34,1,18,41,37
CORRUBR2A005521,0,1655,4,0,1829,5
CORRUBR2A005523,39,44,10,9,19,19
CORRUBR2A005525,333,232,284,150,115,152
CORRUBR2A005527,278,134,65,135,122,84
CORRUBR2A005528,24,20,22,30,166,33
CORRUBR2A005529,712,397,254,412,432,438
CORRUBR2A005531,274,68,388,47,64,70
CORRUBR2A005532,160,92,88,124,46,60
CORRUBR2A005534,25,91,22,10,28,23
CORRUBR2A005535,2013,770,703,277,532,96
CORRUBR2A005537,22,13,13,119,26,24
CORRUBR2A005538,393,165,104,120,124,82
CORRUBR2A005542,218,149,166,159,148,97
CORRUBR2A005544,98,49,30,35,42,62
CORRUBR2A005546,803,692,684,281,540,610
CORRUBR2A005547,128,49,35,72,81,40
CORRUBR2A005549,132,15,15,10,18,34
CORRUBR2A005551,103,49,128,46,25,32
CORRUBR2A005554,96,14,7,15,31,15
CORRUBR2A005556,143,165,363,290,125,158
CORRUBR2A005557,128,54,44,72,83,79
CORRUBR2A005558,1200,1100,1952,619,905,1182
CORRUBR2A005563,86,223,362,113,211,336
CORRUBR2A005568,190,108,11,78,111,88
CORRUBR2A005569,296,205,321,221,129,164
CORRUBR2A005575,579,278,242,178,219,263
CORRUBR2A005577,12,36,39,46,21,26
CORRUBR2A005580,76,35,95,35,32,22
CORRUBR2A005581,830,455,139,235,159,124
CORRUBR2A005583,797,866,1043,515,508,306
CORRUBR2A005585,228,108,67,102,68,37
CORRUBR2A005586,6,35,11,9,22,38
CORRUBR2A005588,2,1,1,1,6,4
CORRUBR2A005590,523,603,604,190,211,204
CORRUBR2A005591,173,0,122,2,0,0
CORRUBR2A005592,78,121,83,91,73,74
CORRUBR2A005594,280,278,166,144,158,135
CORRUBR2A005599,167,255,135,193,203,356
CORRUBR2A005600,619,311,387,428,322,459
CORRUBR2A005601,159,82,66,62,80,65
CORRUBR2A005602,101,56,88,11,74,155
CORRUBR2A005607,116,118,122,30,46,32
CORRUBR2A005608,492,405,255,302,291,231
CORRUBR2A005612,292,161,84,151,147,182
CORRUBR2A005614,8,24,7,24,36,11
CORRUBR2A005618,77,58,41,35,28,18
CORRUBR2A005621,63,53,11,44,36,38
CORRUBR2A005622,765,1153,1592,722,824,826
CORRUBR2A005627,743,548,291,305,299,513
CORRUBR2A005630,235,187,181,67,100,85
CORRUBR2A005632,39,6,8,3,5,0
CORRUBR2A005635,200,219,197,213,226,285
CORRUBR2A005636,21,0,0,4,0,0
CORRUBR2A005638,1313,710,933,427,548,576
CORRUBR2A005640,56,36,47,11,27,28
CORRUBR2A005641,82,0,0,3,1,0
CORRUBR2A005643,19,28,16,0,29,25
CORRUBR2A005645,6,1,3,1,11,7
CORRUBR2A005648,89,32,29,20,33,8
CORRUBR2A005669,24280,17072,42003,6596,6882,7049
CORRUBR2A005670,5,4,16,1,1,0
CORRUBR2A005671,7,5,12,3,2,8
CORRUBR2A005673,52,61,158,54,30,75
CORRUBR2A005675,1504,405,424,434,520,410
CORRUBR2A005676,2,5,2,3,3,3
CORRUBR2A005679,33,22,13,29,46,96
CORRUBR2A005680,9,2,4,94,0,0
CORRUBR2A005683,288,99,43,29,47,55
CORRUBR2A005684,4421,4356,3500,4597,3380,3519
CORRUBR2A005685,2200,1227,1169,910,1074,1220
CORRUBR2A005688,129,8,7,9,8,10
CORRUBR2A005689,6457,5022,4285,2373,3530,4651
CORRUBR2A005690,574,217,191,152,169,196
CORRUBR2A005691,452,294,171,192,337,253
CORRUBR2A005694,3766,4346,4089,3216,3502,5140
CORRUBR2A005696,1136,1060,863,709,912,817
CORRUBR2A005697,211,442,278,205,308,497
CORRUBR2A005701,158,231,89,57,107,115
CORRUBR2A005702,178,105,38,9,73,113
CORRUBR2A005705,335,465,258,291,248,338
CORRUBR2A005706,350,67,61,53,84,61
CORRUBR2A005708,661,572,234,344,329,539
CORRUBR2A005710,29,0,1,11,2,0
CORRUBR2A005711,82,117,96,81,97,131
CORRUBR2A005714,244,232,138,61,105,109
CORRUBR2A005717,2034,1472,1461,1275,1161,869
CORRUBR2A005719,541,234,118,191,185,189
CORRUBR2A005720,85,74,78,52,98,40
CORRUBR2A005722,0,5,1,14,10,0
CORRUBR2A005726,54,21,3,109,11,140
CORRUBR2A005728,2536,1534,1383,1205,1609,2830
CORRUBR2A005730,35,34,7,9,28,64
CORRUBR2A005733,51,94,89,18,69,140
CORRUBR2A005734,6,25,58,35,17,26
CORRUBR2A005737,2637,3914,3676,1845,1779,2041
CORRUBR2A005740,335,296,273,216,210,260
CORRUBR2A005743,938,423,242,491,465,742
CORRUBR2A005745,698,601,340,483,610,646
CORRUBR2A005748,320,158,104,123,278,222
CORRUBR2A005749,67,57,19,43,183,74
CORRUBR2A005753,107,75,88,152,159,81
CORRUBR2A005755,63,46,63,0,2,47
CORRUBR2A005756,20262,20360,17805,14865,12492,12044
CORRUBR2A005761,183,101,81,22,49,79
CORRUBR2A005762,595,1264,1079,420,442,616
CORRUBR2A005764,272,192,26,171,154,133
CORRUBR2A005766,23,16,14,12,12,16
CORRUBR2A005768,3277,2246,2249,1715,1796,1745
CORRUBR2A005769,2296,1023,587,859,731,676
CORRUBR2A005773,441,157,190,421,316,302
CORRUBR2A005775,14,4,6,3,2,4
CORRUBR2A005780,350,86,65,156,114,78
CORRUBR2A005782,324,239,297,202,286,331
CORRUBR2A005784,218,165,73,128,106,80
CORRUBR2A005790,15,29,1,13,7,19
CORRUBR2A005798,62,70,61,26,38,24
CORRUBR2A005799,115,98,39,38,37,49
CORRUBR2A005800,35,16,24,10,20,20
CORRUBR2A005801,27,42,3,17,24,38
CORRUBR2A005802,27,20,15,21,23,28
CORRUBR2A005803,184,210,202,103,103,103
CORRUBR2A005807,423,187,111,148,184,148
CORRUBR2A005809,28,24,17,25,23,41
CORRUBR2A005812,43,18,12,4,27,16
CORRUBR2A005813,224,145,94,105,150,104
CORRUBR2A005814,120,67,36,47,57,33
CORRUBR2A005816,58,1,6,1,3,7
CORRUBR2A005819,148,83,40,14,124,179
CORRUBR2A005822,352,384,864,193,68,79
CORRUBR2A005824,0,3,7,2,3,6
CORRUBR2A005828,12,13,2,4,9,7
CORRUBR2A005830,134,66,46,40,140,160
CORRUBR2A005831,1236,1140,774,737,553,850
CORRUBR2A005832,276,135,88,92,125,172
CORRUBR2A005833,96,96,49,58,154,78
CORRUBR2A005839,4752,4455,4482,1178,1144,945
CORRUBR2A005840,135,109,35,44,58,72
CORRUBR2A005841,1177,806,612,666,590,600
CORRUBR2A005843,6,11,4,2,11,2
CORRUBR2A005854,100,146,232,100,95,110
CORRUBR2A005856,102,26,26,30,32,28
CORRUBR2A005857,570,560,385,402,553,770
CORRUBR2A005858,227,76,46,45,45,40
CORRUBR2A005860,29,51,53,26,32,14
CORRUBR2A005861,6,1,11,45,13,8
CORRUBR2A005865,321,68,141,44,75,41
CORRUBR2A005866,8,20,21,33,36,11
CORRUBR2A005881,1054,872,357,538,689,330
CORRUBR2A005882,65,65,87,75,95,82
CORRUBR2A005883,2,2,0,0,24,0
CORRUBR2A005885,188,546,270,139,77,201
CORRUBR2A005888,432,387,257,202,300,414
CORRUBR2A005890,238,220,197,150,140,206
CORRUBR2A005892,4,0,0,4,28,0
CORRUBR2A005893,4,68,9,23,6,39
CORRUBR2A005895,464,360,582,156,161,201
CORRUBR2A005900,63,82,30,31,44,51
CORRUBR2A005903,27501,65995,12115,13396,10746,5144
CORRUBR2A005908,519,530,321,203,272,273
CORRUBR2A005909,46,25,23,20,16,19
CORRUBR2A005912,11,24,72,36,92,35
CORRUBR2A005916,208,262,9,82,23,208
CORRUBR2A005919,332,381,348,387,357,441
CORRUBR2A005921,22,22,10,9,13,3
CORRUBR2A005924,42,9,10,10,9,18
CORRUBR2A005929,5,76,66,12,14,42
CORRUBR2A005930,2,5,8,1,0,6
CORRUBR2A005932,331,455,468,142,137,124
CORRUBR2A005934,348,558,362,224,457,510
CORRUBR2A005939,114851,160368,117422,53180,54864,71211
CORRUBR2A005941,603,352,276,344,509,508
CORRUBR2A005943,5545,5616,4337,4910,5122,5605
CORRUBR2A005948,8300,18513,13338,14065,11324,17911
CORRUBR2A005949,666,156,134,141,192,182
CORRUBR2A005950,78,25,28,41,24,26
CORRUBR2A005951,1755,1816,1097,831,841,1442
CORRUBR2A005957,555,636,798,338,661,705
CORRUBR2A005959,802,707,706,448,498,615
CORRUBR2A005960,4,3,4,5,0,2
CORRUBR2A005961,4403,2253,1429,1226,1511,1593
CORRUBR2A005962,528,317,168,103,182,152
CORRUBR2A005963,426,448,309,526,426,554
CORRUBR2A005964,160,76,7,48,43,45
CORRUBR2A005965,540,313,235,342,341,377
CORRUBR2A005968,1910,1176,1061,488,769,1427
CORRUBR2A005972,26,86,21,63,0,0
CORRUBR2A005974,495,278,127,226,112,144
CORRUBR2A005976,115,166,100,38,77,77
CORRUBR2A005979,20,12,2,18,6,18
CORRUBR2A005980,126,168,88,87,173,99
CORRUBR2A005981,0,2,1,6,1,2
CORRUBR2A005983,586,329,340,319,282,270
CORRUBR2A005988,0,6,7,0,3,9
CORRUBR2A005991,3,3,4,2,3,7
CORRUBR2A005992,174,80,74,129,80,99
CORRUBR2A005993,30,19,4,3,23,17
CORRUBR2A005995,4,0,13,23,91,26
CORRUBR2A005997,1157,963,390,1188,1356,706
CORRUBR2A005999,405,383,233,387,416,345
CORRUBR2A006001,487,241,236,293,296,246
CORRUBR2A006002,22328,32471,49008,9249,10698,11195
CORRUBR2A006005,442,339,345,208,320,396
CORRUBR2A006011,508,748,509,642,628,395
