,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
CORRUBR2A000266,3464,3239,4853,1238,2313,2930
CORRUBR2A000267,0,1,2,4,4,12
CORRUBR2A000269,356,240,176,237,192,164
CORRUBR2A000271,54,232,23,27,36,41
CORRUBR2A000272,168,6,2,26,14,0
CORRUBR2A000273,185,173,145,124,142,128
CORRUBR2A000275,225,176,49,97,174,148
CORRUBR2A000277,959,568,402,402,365,426
CORRUBR2A000278,519,635,314,340,546,291
CORRUBR2A000281,564,347,280,313,410,420
CORRUBR2A000282,248,152,93,131,107,86
CORRUBR2A000283,821,243,143,106,194,202
CORRUBR2A000286,743,435,362,322,349,346
CORRUBR2A000289,693,453,292,362,472,462
CORRUBR2A000292,380,349,689,246,161,146
CORRUBR2A000293,213,162,154,60,176,32
CORRUBR2A000297,30,16,10,21,16,24
CORRUBR2A000302,3643,2448,1795,1386,1491,1693
CORRUBR2A000303,1,11,4,7,3,20
CORRUBR2A000304,149,175,72,87,149,200
CORRUBR2A000306,2138,2156,1983,635,853,504
CORRUBR2A000312,15,32,29,7,42,33
CORRUBR2A000314,44,40,13,57,41,33
CORRUBR2A000317,217,85,123,85,78,69
CORRUBR2A000322,19,20,31,21,15,25
CORRUBR2A000325,2062,1088,428,430,616,426
CORRUBR2A000328,233,454,258,109,314,495
CORRUBR2A000330,11,7,14,12,12,2
CORRUBR2A000332,27,24,7,33,31,28
CORRUBR2A000333,12043,14573,10842,5055,4807,6430
CORRUBR2A000338,426,170,145,103,121,185
CORRUBR2A000340,1960,1357,884,741,490,865
CORRUBR2A000344,2,3,6,3,2,2
CORRUBR2A000347,0,0,0,0,19,0
CORRUBR2A000348,993,479,184,333,109,319
CORRUBR2A000350,1,11,55,1,2,33
CORRUBR2A000352,1,15,52,5,28,3
CORRUBR2A000355,302,157,158,147,152,71
CORRUBR2A000356,1,65,10,0,3,14
CORRUBR2A000357,87,49,34,28,54,32
CORRUBR2A000359,60,23,18,20,30,12
CORRUBR2A000361,601,891,473,831,387,390
CORRUBR2A000366,101,83,68,85,125,62
CORRUBR2A000368,136,151,123,110,55,119
CORRUBR2A000369,471,270,151,114,136,159
CORRUBR2A000370,181,100,49,77,84,86
CORRUBR2A000372,840,735,392,401,410,338
CORRUBR2A000373,344,102,118,209,234,178
CORRUBR2A000374,85,83,58,118,73,113
CORRUBR2A000377,681,744,707,458,704,459
CORRUBR2A000383,15915,10040,39399,10370,5141,4239
CORRUBR2A000384,1677,527,272,347,357,329
CORRUBR2A000385,661,495,475,505,551,357
CORRUBR2A000389,229,140,101,145,143,136
CORRUBR2A000392,48,18,23,6,13,8
CORRUBR2A000393,561,112,46,79,104,86
CORRUBR2A000395,36,60,16,123,85,49
CORRUBR2A000403,219,150,283,202,202,229
CORRUBR2A000405,144,73,90,76,72,100
CORRUBR2A000406,12,1,8,9,9,2
CORRUBR2A000407,315,88,76,126,114,82
CORRUBR2A000408,20,13,56,22,25,67
CORRUBR2A000410,335,555,364,328,489,305
CORRUBR2A000416,466,263,189,194,254,175
CORRUBR2A000419,627,517,712,438,433,376
CORRUBR2A000425,1062,811,2820,237,453,728
CORRUBR2A000426,142,168,133,122,136,151
CORRUBR2A000427,597,600,578,391,322,226
CORRUBR2A000432,680,573,143,294,317,307
CORRUBR2A000436,22,36,65,15,12,15
CORRUBR2A000437,135,191,165,28,85,47
CORRUBR2A000438,654,521,424,219,2,112
CORRUBR2A000440,241,232,141,152,212,203
CORRUBR2A000441,101,124,223,121,81,46
CORRUBR2A000443,36,50,18,20,30,20
CORRUBR2A000444,10,7,0,5,6,4
CORRUBR2A000445,1717,1030,459,688,740,670
CORRUBR2A000449,7,8,16,11,21,0
CORRUBR2A000450,40,17,18,14,17,29
CORRUBR2A000452,1084,588,388,774,1681,1241
CORRUBR2A000453,229,183,121,78,95,118
CORRUBR2A000454,21,14,10,14,15,20
CORRUBR2A000455,1862,883,1179,332,602,476
CORRUBR2A000457,92,32,38,39,43,18
CORRUBR2A000459,721,220,254,194,199,147
CORRUBR2A000461,5,3,34,8,26,0
CORRUBR2A000464,493,388,634,396,241,418
CORRUBR2A000465,0,11,5,2,2,3
CORRUBR2A000467,594,303,268,229,276,432
CORRUBR2A000470,0,19,0,3,4,11
CORRUBR2A000472,269,325,574,828,772,490
CORRUBR2A000473,42,0,25,41,46,0
CORRUBR2A000476,440,270,264,250,360,251
CORRUBR2A000477,553,205,94,222,96,174
CORRUBR2A000480,2300,1371,1231,1603,1173,1633
CORRUBR2A000482,758,290,255,225,218,167
CORRUBR2A000483,9989,10812,21727,3196,3094,3888
CORRUBR2A000484,763,1140,568,930,796,803
CORRUBR2A000486,29,35,25,37,40,24
CORRUBR2A000487,13,8,1,3,2,1
CORRUBR2A000489,615,868,394,605,626,650
CORRUBR2A000491,208,306,223,168,285,246
CORRUBR2A000492,131,139,109,76,150,150
CORRUBR2A000497,1494,2025,1810,486,1944,1042
CORRUBR2A000498,59,0,36,53,54,6
CORRUBR2A000500,13,18,6,10,14,11
CORRUBR2A000501,431,670,492,775,605,429
CORRUBR2A000503,561,421,316,516,728,706
CORRUBR2A000509,58,86,82,45,59,69
CORRUBR2A000512,59,37,21,15,31,75
CORRUBR2A000518,166,257,323,44,92,70
CORRUBR2A000519,696,349,260,318,425,530
CORRUBR2A000523,0,56,62,37,43,68
CORRUBR2A000524,7095,8611,15758,3377,3283,3379
CORRUBR2A000525,45,43,45,30,16,36
CORRUBR2A000526,96,182,117,81,0,107
CORRUBR2A000528,2,5,15,3,0,0
CORRUBR2A000534,103,65,26,42,85,50
CORRUBR2A000537,48,75,41,19,27,45
CORRUBR2A000538,254,185,103,201,418,57
CORRUBR2A000540,42,44,41,34,79,48
CORRUBR2A000541,150,50,21,25,27,57
CORRUBR2A000543,4,5,7,1,0,20
CORRUBR2A000545,6,0,18,140,1,69
CORRUBR2A000549,52139,69457,49974,33074,32825,36369
CORRUBR2A000552,1897,2434,1870,987,1337,1812
CORRUBR2A000555,4627,3591,4773,1363,2867,1657
CORRUBR2A000556,227,140,57,102,60,70
CORRUBR2A000557,868,565,2101,179,199,282
CORRUBR2A000559,581,348,216,249,194,256
CORRUBR2A000561,0,7,2,0,8,3
CORRUBR2A000562,19,41,19,17,17,22
CORRUBR2A000567,43,126,96,37,42,59
CORRUBR2A000571,50,40,18,35,30,28
CORRUBR2A000574,2281,1847,1833,1167,1328,1401
CORRUBR2A000580,948,721,1074,473,650,646
CORRUBR2A000581,10,8,0,5,4,0
CORRUBR2A000584,14,0,11,12,0,11
CORRUBR2A000587,338,355,262,112,289,211
CORRUBR2A000588,114,35,55,24,48,26
CORRUBR2A000590,0,0,0,20,0,6
CORRUBR2A000592,9,10,2,4,8,12
CORRUBR2A000593,16,25,14,5,15,17
CORRUBR2A000594,216,141,60,34,84,60
CORRUBR2A000595,70,39,33,23,36,15
CORRUBR2A000597,1149,502,607,504,529,519
CORRUBR2A000599,5,8,7,5,2,6
CORRUBR2A000601,1678,1893,1264,688,1145,1203
CORRUBR2A000602,101,161,60,53,83,60
CORRUBR2A000603,57,58,120,52,96,182
CORRUBR2A000604,24,2,18,26,80,61
CORRUBR2A000605,361,369,337,456,412,501
CORRUBR2A000609,741,390,538,351,403,363
CORRUBR2A000610,17,7,17,0,8,4
CORRUBR2A000614,0,0,0,0,0,42
CORRUBR2A000616,32,54,23,43,46,47
CORRUBR2A000620,12728,15035,13045,7137,11068,11751
CORRUBR2A000622,253,292,228,308,261,287
CORRUBR2A000624,142,72,18,31,58,43
CORRUBR2A000625,1403,2002,1571,720,1057,962
CORRUBR2A000626,119,104,63,52,95,72
CORRUBR2A000627,29,73,101,26,52,105
CORRUBR2A000632,424,262,214,227,258,301
CORRUBR2A000633,198,86,34,212,139,92
CORRUBR2A000635,2069,1603,832,1061,1433,1009
CORRUBR2A000636,49,42,31,32,57,61
CORRUBR2A000640,351,191,99,298,221,15
CORRUBR2A000644,90,86,15,44,68,86
CORRUBR2A000645,225,169,103,66,173,136
CORRUBR2A000646,0,5,2,0,15,0
CORRUBR2A000648,79,12,54,52,101,7
CORRUBR2A000650,349,144,120,176,179,186
CORRUBR2A000652,3391,2478,2103,2136,2950,2512
CORRUBR2A000657,27,51,34,8,38,11
CORRUBR2A000661,381,88,260,88,84,50
CORRUBR2A000663,533,150,196,133,202,196
CORRUBR2A000664,81,163,109,40,41,99
CORRUBR2A000666,18,17,10,6,7,40
CORRUBR2A000667,22,16,11,13,15,23
CORRUBR2A000668,196,100,59,59,71,46
CORRUBR2A000671,60,52,6,26,100,61
CORRUBR2A000672,5,14,3,12,9,25
CORRUBR2A000673,94,114,70,55,66,83
CORRUBR2A000677,1795,2198,834,649,1097,870
CORRUBR2A000683,696,432,347,390,604,491
CORRUBR2A000684,103,95,69,69,98,60
CORRUBR2A000685,1734,880,732,596,771,822
CORRUBR2A000688,1015,1185,616,724,914,786
CORRUBR2A000689,72,134,113,103,28,30
CORRUBR2A000690,93,55,22,137,162,88
CORRUBR2A000693,0,4,2,0,17,0
CORRUBR2A000695,587,205,126,137,164,160
CORRUBR2A000697,6,11,0,0,0,0
CORRUBR2A000700,686,850,358,428,1162,637
CORRUBR2A000701,96,107,69,92,74,69
CORRUBR2A000703,1546,1314,1203,886,1062,1249
CORRUBR2A000705,1297,856,609,553,552,675
CORRUBR2A000706,23,15,16,23,19,13
CORRUBR2A000708,185,140,109,112,119,136
CORRUBR2A000709,224,183,202,78,202,166
CORRUBR2A000714,59,71,22,14,25,39
CORRUBR2A000716,89,85,162,129,89,89
CORRUBR2A000717,30557,43325,35878,22873,21702,21609
CORRUBR2A000718,105,30,33,90,63,104
CORRUBR2A000721,3,5,11,1,127,8
CORRUBR2A000723,251,223,105,123,154,208
CORRUBR2A000725,457,233,179,158,164,135
CORRUBR2A000727,72,62,61,61,44,5
CORRUBR2A000728,1,31,4,4,3,6
CORRUBR2A000733,225,177,191,102,162,121
CORRUBR2A000734,14,22,7,4,15,9
CORRUBR2A000744,41,46,73,55,129,81
CORRUBR2A000746,124,75,45,64,76,32
CORRUBR2A000747,98,50,88,97,108,129
CORRUBR2A000748,28,7,4,35,17,44
CORRUBR2A000749,11844,14490,10328,7888,3281,7785
CORRUBR2A000751,269,233,160,101,78,135
CORRUBR2A000754,1463,794,553,552,633,684
